	authors	category	filename	keywords	subcategory	title	topics
229	Hakkarainen, Jussi-Pekka	Paper	HAKKARAINEN_Jussi_Pekka_Nichesourcing_The_Uralic_Langua.xml	crowdsourcing; libraries; Uralic languages; citizen science; research collaboration	Long Paper	Nichesourcing The Uralic Languages For The Benefit Of Linguistic Research And Lingual Societies	corpora and corpus activities; lexicography; multilingual / multicultural approaches; project design; organization; management; digitisation; resource creation; and discovery; scholarly editing; software design and development; text generation; xml; GLAM: galleries; libraries; archives; museums; interdisciplinary collaboration; linguistics; morphology; crowdsourcing; digitisation - theory and practice; networks; relationships; graphs; data mining / text mining; English
230	Denoon, Louise; Edmonds, Elise; Franks, Rachel; Neville, Richard	Paper	FRANKS_Rachel_Interrogating_Our_Collections__Interrogat.xml	Access; Curation; Digitisation; Library; World War I	Short Paper	Interrogating Our Collections; Interrogating Ourselves	archives; repositories; sustainability and preservation; GLAM: galleries; libraries; archives; museums; English
231	Mellick Lopes, Abby Arwen	Paper	MELLICK_LOPES_Abby_Arwen_The_Ontological_Designing_of_t.xml	ontological design; digital humanities; image ecologies; visualisation	Short Paper	The Ontological Designing of the Digital	digital humanities - nature and significance; interface and user experience design; ontologies; philosophy; user studies / user needs; interdisciplinary collaboration; visualisation; digitisation - theory and practice; maps and mapping; English
232	Algee-Hewitt, Mark Andrew; Frank, Morgan; Fredner, Erik; Porter, J.D.; Walser, Hannah	Paper	FREDNER_Erik_Christopher_Measuring_Virality__Quantifyin.xml	virality; popular fiction; contemporary; viral; corpus	Poster	Measuring Virality: Quantifying Formal and Paratextual Features Associated with “Viral” Books	corpora and corpus activities; literary studies; stylistics and stylometry; text analysis; content analysis; english studies; cultural studies; English
233	Isaksen, Leif; Ridge, Mia	Paper	ISAKSEN_Leif_Linking_humanities_data_geospatially_with_.xml	Linked Open Data; Geospatial technologies; Cartography; Semantic annotation	Pre-Conference Workshop and Tutorial (Round 2)	Linking humanities data geospatially with Pelagios and Recogito	art history; classical studies; corpora and corpus activities; geospatial analysis; interfaces and technology; digitisation; resource creation; and discovery; semantic analysis; internet / world wide web; concording and indexing; content analysis; GLAM: galleries; libraries; archives; museums; crowdsourcing; semantic web; maps and mapping; networks; relationships; graphs; linking and annotation; English
234	Kleppe, Martijn; Kemman, Max; Van der Kreeft, Peggy; Macquarrie, Kay; McGuinness, Kevin	Paper	KLEPPE_Martijn_AXES__Researching___Accessing_Videos_Thr.xml	video; multimodal; visual search; audiovisual sources	Poster	AXES: Researching & Accessing Videos Through Multimodal Analyses	audio; video; multimedia; media studies; English
235	Palm, Fredrik; Mähler, Roger	Paper	PALM_Fredrik_Implementing_and_Sustaining_a_DH_Infrastru.xml	sustainability; supporting processes; knowledge sharing; software development	Poster	Implementing and Sustaining a DH Infrastructure – “The HUMlab Experience”	digital humanities - facilities; interdisciplinary collaboration; English
236	Weimer, Katherine; Wrisley, David Joseph	Paper	WEIMER_Katherine_Supporting_Peer_Review_for_GeoHumaniti.xml	geohumanities; spatial humanities; peer-review; evaluation	Poster	Supporting Peer-Review for GeoHumanities and Spatially-Inflected Projects	geospatial analysis; interfaces and technology; interface and user experience design; maps and mapping; English
237	Bański, Piotr; Diewald, Nils; Hanl, Michael; Kupietz, Marc; Witt, Andreas	Paper	BA_SKI_Piotr_Search_for_Needles_in_DH_Haystacks_Continu.xml	virtual text collections; information extraction; query languages; standardization; corpus query lingua franca	Pre-Conference Workshop and Tutorial (Round 2)	Search for Needles in DH Haystacks Continued: Zooming in with Corpus Query Tools	corpora and corpus activities; information retrieval; concording and indexing; content analysis; query languages; standards and interoperability; data mining / text mining; English
238	OGISO, Toshinobu; KONO, Tomoaki; ICHIMURA, Taro	Paper	OGISO_Toshinobu_Morphological_Analysis_of_Japanese_Ky_g.xml	historical corpus; Late Middle Japanese; morphological analysis; Kyogen	Poster	Morphological Analysis of Japanese Kyōgen Text	corpora and corpus activities; natural language processing; philology; English
239	Cheema, Muhammad Faisal; Blumenstein, Judith; Scheuermann, Gerik	Paper	CHEEMA_Muhammad_Faisal_Modelling_Concepts_to_Improve_th.xml	concept editor; concept search; concept modelling	Short Paper	Modelling Concepts to Improve the Search Capabilities on Ancient Corpora	information retrieval; data modeling and architecture including hypothesis-driven modeling; ontologies; knowledge representation; visualisation; networks; relationships; graphs; data mining / text mining; English
240	Powell, Daniel James; Van Hyning, Victoria; Wolfe, Heather; Tonra, Justin; Fraistat, Neil	Paper	POWELL_Daniel_James_Crowdsourcing_the_Text__Contemporar.xml	crowdsourcing; social knowledge creation; social editing; community management; collaboration	Panel / Multiple Paper Session	Crowdsourcing the Text: Contemporary Approaches to Participatory Resource Creation	archives; repositories; sustainability and preservation; digital humanities - nature and significance; teaching and pedagogy; digitisation; resource creation; and discovery; scholarly editing; text generation; GLAM: galleries; libraries; archives; museums; bibliographic methods / textual studies; social media; crowdsourcing; digitisation - theory and practice; English
241	Bornet, Cyril; Kaplan, Frédéric	Paper	BORNET_Cyril_Anatomy_of_a_Drop_Off_Reading_Curve.xml	simulation humaine; daniel de roulet; J48; reading; analytics	Short Paper	Anatomy of a Drop-Off Reading Curve	literary studies; publishing and delivery systems; text analysis; user studies / user needs; bibliographic methods / textual studies; visualisation; crowdsourcing; media studies; English
242	Magee, Liam; Rossiter, Ned	Paper	ROSSITER_Ned_Statistical_Institutions_and_Database_Disa.xml	relational databases; institutions; governance; media theory; knowledge organization	Long Paper	Statistical Institutions and Database Disasters	databases & dbms; knowledge representation; history of Humanities Computing/Digital Humanities; cultural infrastructure; media studies; English
243	Murai, Hajime	Paper	MURAI_Hajime_Identifying_Synonymous_Word_Groups_in_the_.xml	Synoptic Gospels; the synoptic problem; synonyms; factor analysis	Short Paper	Identifying Synonymous Word Groups in the Synoptic Gospels: A Quantitative Analytical Approach	text analysis; theology; networks; relationships; graphs; English
244	Whitelaw, Mitchell	Paper	WHITELAW_Mitchell_Succession__Generative_Techniques__Sp.xml	generative techniques; digital collections; speculative interpretation	Long Paper	Succession: Generative Techniques, Speculative Interpretation and Digital Heritage	archives; repositories; sustainability and preservation; corpora and corpus activities; GLAM: galleries; libraries; archives; museums; creative and performing arts; including writing; English
245	Montague, John; Simpson, John; Rockwell, Geoffrey; Ruecker, Stan; Brown, Susan	Paper	SIMPSON_John_Edward_Exploring_Large_Datasets_with_Topic.xml	Topic Models; Graphs; Big Data; Visualization	Long Paper	Exploring Large Datasets with Topic Model Visualizations	philosophy; text analysis; visualisation; networks; relationships; graphs; English
246	Van Zundert, Joris Job; Haentjens-Dekker, Ronald	Paper	VAN_ZUNDERT_Joris_Job_When_Is_Coding_Scholarship_And_Wh.xml	scholarship; code; code as scholarship; code evaluation; humanities methodology	Long Paper	When Is Coding Scholarship And When Is It Not?	digital humanities - nature and significance; software design and development; programming; English
247	Milstein, Dana; Cochrane, Euan	Paper	MILSTEIN_Dana_Quantifying_Ambiguity_by_Gamifying_the_Wr.xml	ambiguity; poetry; word processor; heat map; lexicon	Long Paper	Quantifying Ambiguity by Gamifying the Writing Process: A Case Study on William Blake’s “The Sick Rose”	audio; video; multimedia; information retrieval; lexicography; natural language processing; software design and development; knowledge representation; content analysis; bibliographic methods / textual studies; genre-specific studies: prose; poetry; drama; English
248	Burrows, Toby Nicolas; Davidson, Alwyn; Cassidy, Steve	Paper	BURROWS_Toby_Nicolas_Enriching_the_HuNI_Virtual_Laborat.xml	HuNI; GATE; named entity recognition; digitised newspapers; Trove	Short Paper	Enriching the HuNI Virtual Laboratory with Content from the Trove Digitized Newspapers Corpus	natural language processing; digital humanities - facilities; cultural infrastructure; English
249	Holmes, Martin	Paper	HOLMES_Martin_Whatever_Happened_to_Interchange_.xml	TEI; interchange; interoperability; XML	Long Paper	Whatever Happened to Interchange?	archives; repositories; sustainability and preservation; encoding - theory and practice; publishing and delivery systems; digitisation; resource creation; and discovery; scholarly editing; user studies / user needs; xml; digitisation - theory and practice; standards and interoperability; English
250	O'Donnell, Daniel Paul; Singh, Gurpreet; Rosselli Del Turco, Roberto	Paper	O_DONNELL_Daniel_Paul_The_Old_Familiar_Faces__On_The_Co.xml	editing; dissemination; user training	Long Paper	The Old Familiar Faces: On The Consumption of Digital Scholarship	project design; organization; management; publishing and delivery systems; digitisation; resource creation; and discovery; scholarly editing; user studies / user needs; philology; bibliographic methods / textual studies; english studies; history of Humanities Computing/Digital Humanities; English
251	Gracy, Karen F.; Zeng, Marcia Lei	Paper	GRACY_Karen_F__Creating_Linked_Data_within_Archival_Des.xml	Linked data; semantic analysis; archival description	Poster	Creating Linked Data within Archival Description: Tools for Extracting, Validating, and Encoding Access Points for Finding Aids	archives; repositories; sustainability and preservation; encoding - theory and practice; natural language processing; semantic analysis; linking and annotation; English
252	Weldon, Stephen P.; Ratowt, Sylwester; Railiene, Birute; Smith, Ailie; La Rosa, Marco; McCarthy, Gavan	Paper	SMITH_Ailie_The_History_of_Science_in_the_Age_of_Networ.xml	History of Science; Bibliography; Networks; Standards; XML	Panel / Multiple Paper Session	The History of Science in the Age of Networked Digital Humanities	archives; repositories; sustainability and preservation; corpora and corpus activities; digitisation; resource creation; and discovery; xml; digital humanities - facilities; bibliographic methods / textual studies; networks; relationships; graphs; standards and interoperability; English
253	Yang, Jui-sung	Paper	YANG_Jui_sung_The_Enchantment_of_Civilization_Civility_.xml	Wenmin; Civilizaton; Civility; China; Japan	Short Paper	The Enchantment of Civilization/Civility: the Digital Humanity Study of the “Obsession” with “Wenming”(文明) in Modern China	historical studies; asian studies; cultural studies; translation studies; English
254	Green, Harriett Elizabeth; Fleming-May, Rachel	Paper	GREEN_Harriett_Elizabeth_Capturing_Virtual_Verse__A_Nee.xml	electronic literature; digital preservation; writing; digital publishing	Long Paper	Capturing Virtual Verse: A Needs Assessment for Access and Preservation of Online-Only Literature	archives; repositories; sustainability and preservation; publishing and delivery systems; digitisation; resource creation; and discovery; internet / world wide web; GLAM: galleries; libraries; archives; museums; creative and performing arts; including writing; english studies; English
255	Kretzschmar, William; Juuso, Ilkka	Paper	KRETZSCHMAR_William_Computer_Simulation_of_Diffusion__N.xml	cellular automaton; complex systems; language change; diffusion	Long Paper	Computer Simulation of Diffusion: New Suggestions about the Process of Language Change	data modeling and architecture including hypothesis-driven modeling; linguistics; english studies; agent modeling and simulation; English
256	Popham, Michael	Paper	POPHAM_Michael_Text___Creation___Partnership__Whatever_.xml	Text; Partnerships; Open; Sustainability; Reuse	Long Paper	Text + Creation + Partnership: Whatever Happened to the Best Laid Plans of EEBO-TCP?	encoding - theory and practice; digital humanities - nature and significance; literary studies; project design; organization; management; digitisation; resource creation; and discovery; copyright; licensing; and Open Access; English
257	Marecki, Piotr; Montfort, Nick	Paper	MARECKI_Piotr_Renderings__Translating_Literary_Works_in.xml	translation theory; creative computing; platform studies; expressive processing	Long Paper	Renderings: Translating Literary Works in the Digital Age	archives; repositories; sustainability and preservation; literary studies; multilingual / multicultural approaches; natural language processing; publishing and delivery systems; semantic analysis; text analysis; text generation; philology; internet / world wide web; interdisciplinary collaboration; linguistics; programming; creative and performing arts; including writing; translation studies; history of Humanities Computing/Digital Humanities; English
258	Kamposiori, Christina; Warwick, Claire; Mahony, Simon	Paper	KAMPOSIORI_Christina_Tales_Of_A_Discipline_In_The_Digit.xml	art history; information behaviour; user requirements; digital scholarship; digital humanities	Poster	Tales Of A Discipline In The Digital Age: Information Practices And Needs In Art History	art history; user studies / user needs; English
259	Baumgartner, Justin Lee	Paper	BAUMGARTNER_Justin_Lee_In_The_Spotlight__Digitization_A.xml	theatre; digitisation; access; research	Poster	In The Spotlight: Digitization And The Keith/Albee Vaudeville Theater Collection	archives; repositories; sustainability and preservation; historical studies; project design; organization; management; digitisation; resource creation; and discovery; genre-specific studies: prose; poetry; drama; english studies; English
260	Gius, Evelyn; Jacke, Janina; Meister, Jan Christoph; Bögel, Thomas; Strötgen, Jannik	Paper	JACKE_Janina_Beyond_Pragmatics__Disciplinary_Profits_of.xml	narratology; machine learning; methodology; interdisciplinarity; text analysis	Long Paper	Beyond Pragmatics: Disciplinary Profits of Interdisciplinary Approaches	encoding - theory and practice; information retrieval; literary studies; metadata; natural language processing; semantic analysis; text analysis; bibliographic methods / textual studies; interdisciplinary collaboration; genre-specific studies: prose; poetry; drama; german studies; linking and annotation; data mining / text mining; English
261	Eder, Maciej	Paper	EDER_Maciej_Through_the_Magnifying_Glass__Rolling_Stylo.xml	rolling stylometry; authorship attribution; collaborative authorship; sequential analysis	Poster	Through the Magnifying Glass: Rolling Stylometry for Collaborative Authorship	classical studies; literary studies; stylistics and stylometry; authorship attribution / authority; visualisation; English
262	Voss, Jon; Wolfenstein, Gabriel; Frank, Zephyr; Heuser, Ryan; Young, Kerri; Stanhope, Nick	Paper	VOSS_Jon_From_Crowdsourcing_to_Knowledge_Communities__C.xml	historypin; history; mapping; community; crowdsourcing	Long Paper	From Crowdsourcing to Knowledge Communities: Creating Meaningful Scholarship Through Digital Collaboration	interface and user experience design; project design; organization; management; user studies / user needs; content analysis; GLAM: galleries; libraries; archives; museums; bibliographic methods / textual studies; visualisation; crowdsourcing; maps and mapping; linking and annotation; data mining / text mining; English
263	Zervanou, Kalliopi; Klein, Wouter; Van den Hooff, Peter; Bron, Marc; Wiering, Frans; Pieters, Toine	Paper	ZERVANOU_Kalliopi_Creating_Time_Capsules_for_Colonial_B.xml	history of botany; history of pharmacy; ontologies; linked data	Short Paper	Creating Time Capsules for Colonial Botanical Drugs in the Early Modern Low Countries	historical studies; metadata; natural language processing; ontologies; digitisation; resource creation; and discovery; knowledge representation; xml; internet / world wide web; semantic web; linking and annotation; English
264	Trilcke, Peer; Fischer, Frank; Kampkaspar, Dario	Paper	FISCHER_Frank_Digital_Network_Analysis_of_Dramatic_Text.xml	network analysis; dramatic texts; literary history	Long Paper	Digital Network Analysis of Dramatic Texts	literary studies; visualisation; networks; relationships; graphs; English
265	Togiya, Norio	Paper	TOGIYA_Norio_Proposal_for_Creation_of__Research_Profile.xml	historical photograph; archive; digital book; epub	Short Paper	"Proposal for Creation of ""Research Profile"" of Photo Archives Using Digital Book Format"	archives; repositories; sustainability and preservation; art history; audio; video; multimedia; visualisation; English
266	Alexander, Ben; Brown, David; Mescal, Alexandra	Paper	ALEXANDER_Ben_The_American_Century_Project__Bringing_in.xml	American Culture; American History; Hollywood; American Television; Broadway Theatre; Cold War	Pre-Conference Workshop and Tutorial (Round 2)	The American Century Project: Bringing into Critical Parity Primary Source Materials, Their Visualization, and Their Composite Analysis	archives; repositories; sustainability and preservation; art history; corpora and corpus activities; audio; video; multimedia; encoding - theory and practice; film and cinema studies; gender studies; historical studies; digital humanities - nature and significance; digital humanities - institutional support; interface and user experience design; teaching and pedagogy; literary studies; music; project design; organization; management; digitisation; resource creation; and discovery; information architecture; content analysis; digital humanities - facilities; linguistics; digital humanities - pedagogy and curriculum; creative and performing arts; including writing; cultural studies; visualisation; history of Humanities Computing/Digital Humanities; digitisation - theory and practice; folklore and oral history; cultural infrastructure; maps and mapping; data mining / text mining; English
267	van Faassen, Marijke; Hoekstra, Rik	Paper	VAN_FAASSEN_Marijke_Ruptured_Life_Courses__Institutiona.xml	Dutch-Australia; Mutual Cultural Heritage; Digital Preservation	Short Paper	Ruptured Life Courses: Institutional and Cultural Influences in Transnational Contexts	archives; repositories; sustainability and preservation; historical studies; digitisation; resource creation; and discovery; GLAM: galleries; libraries; archives; museums; cultural studies; cultural infrastructure; English
268	Terras, Melissa; Graham-Matheson, Helen; Furlong, Gillian; Wright, Steven; Makin, Katy; Gibson, Adam	Paper	TERRAS_Melissa_Collaborative_Digitisation__UCL_s_Mediev.xml	Digitisation; Library; Medieval; Manuscripts	Short Paper	Collaborative Digitisation: UCL’s Medieval Manuscript Fragment Project	archives; repositories; sustainability and preservation; image processing; medieval studies; project design; organization; management; digitisation; resource creation; and discovery; English
